,year,gdpb,pop,impo,expo,dummy
1,1790,0.189,3929,0.02,0.02,0
2,1791,0.206,4048,0.03,0.02,0
3,1792,0.225,4172,0.03,0.02,0
4,1793,0.251,4299,0.03,0.03,0
5,1794,0.315,4429,0.04,0.03,0
6,1795,0.383,4563,0.07,0.05,0
7,1796,0.417,4701,0.08,0.06,0
8,1797,0.409,4844,0.08,0.05,0
9,1798,0.413,4990,0.07,0.06,0
10,1799,0.442,5141,0.08,0.08,0
11,1800,0.48,5297,0.09,0.07,0
12,1801,0.514,5461,0.11,0.09,0
13,1802,0.451,5632,0.08,0.07,0
14,1803,0.487,5809,0.07,0.06,0
15,1804,0.533,5991,0.09,0.08,0
16,1805,0.561,6180,0.12,0.1,0
17,1806,0.617,6379,0.13,0.1,0
18,1807,0.589,6588,0.14,0.11,0
19,1808,0.646,6797,0.06,0.02,0
20,1809,0.687,7009,0.06,0.05,0
21,1810,0.706,7224,0.09,0.07,0
22,1811,0.767,7436,0.05,0.06,0
23,1812,0.786,7651,0.08,0.04,0
24,1813,0.969,7867,0.02,0.03,0
25,1814,1.078,8085,0.01,0.01,0
26,1815,0.925,8308,0.11,0.05,0
27,1816,0.819,8540,0.15,0.08,0
28,1817,0.769,8790,0.1,0.09,0
29,1818,0.737,9057,0.12,0.09,0
30,1819,0.726,9335,0.09,0.07,0
31,1820,0.71,9618,0.07,0.07,0
32,1821,0.735,9899,0.06,0.06,0
33,1822,0.805,10189,0.08,0.06,0
34,1823,0.759,10488,0.07,0.07,0
35,1824,0.754,10795,0.07,0.07,0
36,1825,0.822,11115,0.09,0.09,0
37,1826,0.866,11449,0.08,0.07,0
38,1827,0.916,11797,0.07,0.07,0
39,1828,0.897,12158,0.08,0.06,0
40,1829,0.93,12525,0.07,0.07,0
41,1830,1.022,12901,0.06,0.07,0
42,1831,1.052,13277,0.1,0.07,0
43,1832,1.129,13676,0.1,0.08,0
44,1833,1.158,14086,0.1,0.09,0
